gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
CXCL8	ENSG00000169429.10	9.04521524927731	0.486685729897385	9.87907399992317	3.4930371868334e-06	0.0047809199976188	Up
SERPINB2	ENSG00000197632.8	8.71445509285807	0.557958122117867	6.78250389093413	7.44051869061765e-05	0.0377179182661051	
EPX	ENSG00000121053.5	8.25602874794853	-0.266824842332077	8.10973226973628	1.79466947759973e-05	0.013121946744194	
CKM	ENSG00000104879.4	8.1730476471295	0.476027411220594	11.8838466125844	7.20158404667114e-07	0.0026808799802637	
SIGLEC12	ENSG00000254521.6	8.00328959202864	-0.91004959425008	4.39663586215242	0.0016602874777445	0.258231303498748	
MPO	ENSG00000005381.7	7.87064764744887	3.04157016076877	1.24759440281713	0.24315594796886	0.996002814480045	
HILPDA	ENSG00000135245.9	7.8594826308349	2.47872110060839	3.24741629935188	0.0098202552789569	0.566977934563233	Up
ALB	ENSG00000163631.16	7.80936852389527	0.591726086035289	3.50213768805264	0.0065298490103861	0.474376696061679	Up
ELANE	ENSG00000197561.6	7.7079773525616	3.03797546286011	1.2489322893123	0.242688287371223	0.996002814480045	
CD177P1	ENSG00000204933.3	7.63550533272	1.65685281190512	1.8501404750333	0.0967791386419963	0.937565417793051	
HBG2	ENSG00000196565.13	7.58590734897917	4.14537615858514	1.15074857759298	0.279012475168079	0.996002814480045	
LINC02972	ENSG00000249790.2	7.5296503555449	3.71805624044944	0.965150645621911	0.359277514890772	0.996002814480045	
EREG	ENSG00000124882.3	7.47775283551884	0.670283748585989	7.76711546497842	2.54509791624944e-05	0.015145545730307	
CD300E	ENSG00000186407.6	7.3684180269474	3.51499959940766	0.954704081478774	0.364261707747208	0.996002814480045	
ACTA1	ENSG00000143632.14	7.30432257320852	-0.0548599834777976	11.2844848883924	1.12499729202702e-06	0.0026808799802637	
G0S2	ENSG00000123689.5	7.30086146929639	3.49477060849904	4.4193802132224	0.0016057801596371	0.258231303498748	Up
PRTN3	ENSG00000196415.9	7.29942500754074	2.52078181629104	1.71962837560396	0.119054371813266	0.94925315385216	
CTSG	ENSG00000100448.3	7.21463441519753	2.02137856245179	1.73842593724387	0.115578255039126	0.94925315385216	
THBS1	ENSG00000137801.10	7.19124716666987	5.41873381061977	1.23327076223029	0.248209334407304	0.996002814480045	
PRG2	ENSG00000186652.9	7.12062229566378	1.97652708676811	3.86673492273403	0.0036890549809727	0.413869635447331	
PTGS2	ENSG00000073756.11	7.04725103344001	1.79723229864814	3.54517892054574	0.0060990435588234	0.470190206158784	
C1QB	ENSG00000173369.15	7.03124745975356	2.74199689332447	1.82003497101041	0.101544225042311	0.941955852744414	
DEFA3	ENSG00000239839.6	6.89694061098479	3.83808191190966	0.795911005241787	0.446235239649326	0.996002814480045	
LIF	ENSG00000128342.4	6.8958100774043	-1.14246068860848	8.15438481229775	1.71624317551013e-05	0.013121946744194	Up
C1QA	ENSG00000173372.16	6.87302371949523	2.62361931447507	1.968273586145	0.080032596745006	0.910021577162943	
BPI	ENSG00000101425.12	6.87112759246159	3.24585894168888	0.977439568841461	0.353478740231149	0.996002814480045	
GZMH	ENSG00000100450.12	6.84871582086347	0.667443076163358	3.05992947278563	0.013313743218135	0.587566225385755	Up
C1QC	ENSG00000159189.11	6.84539829023205	1.91607018310038	2.18711504355968	0.0560280441445696	0.868994472894633	
CLEC10A	ENSG00000132514.13	6.75147370218968	0.578503608719539	3.10333349622176	0.0124046943974677	0.582855601665499	
AREG	ENSG00000109321.10	6.60910405965403	1.56735490511253	4.18996145509547	0.0022562622714924	0.296937131826129	Up
FOSB	ENSG00000125740.13	6.55583383667626	0.590946595391759	9.64644806848032	4.26927346796531e-06	0.0053121405414582	
PLA2G7	ENSG00000146070.16	6.49941823995391	-0.773489992658891	4.20757154145912	0.0021975400152855	0.293958528192384	
PRSS57	ENSG00000185198.11	6.46581110306957	-1.11273332865759	3.80786178162639	0.004040786740126	0.428123345735982	
MMP8	ENSG00000118113.11	6.45211989222174	4.3308404564281	0.623884511294906	0.547936104034926	0.996002814480045	
HBEGF	ENSG00000113070.7	6.44698897471871	0.800012116047676	10.368928532703	2.31860045000568e-06	0.0035260760399142	Up
HBA2	ENSG00000188536.12	6.35278084892146	10.306654354383	0.643628210943602	0.535609539618531	0.996002814480045	
SLC4A1	ENSG00000004939.13	6.33978793626691	4.35251989392259	0.630736711480127	0.54363952108673	0.996002814480045	
KIR3DL1	ENSG00000167633.18	6.33858684745555	-1.10633896104881	3.58166124790963	0.0057571932102114	0.469039901596216	Up
LCN2	ENSG00000148346.11	6.31477587472611	4.64522820418	0.616849068762337	0.552367966388892	0.996002814480045	
KIR2DL3	ENSG00000243772.7	6.27053428357482	-1.61227676951241	3.89367015763663	0.0035390461671507	0.403657707414933	Up
PID1	ENSG00000153823.18	6.16153781382765	-0.152789351266119	5.62270020048057	0.0003054199997485	0.0867089193052336	
HBB	ENSG00000244734.3	6.15577733298181	12.5913226131207	0.707963817622164	0.496600229031653	0.996002814480045	
AZU1	ENSG00000172232.9	6.13684362897307	3.05224125691947	1.58514802924673	0.146832533414547	0.979441600526187	
DEFA4	ENSG00000164821.4	6.12704748852158	2.62334431325687	1.27009076362154	0.235390293457626	0.996002814480045	
HBA1	ENSG00000206172.8	6.08568936538032	7.76329213711303	0.417480118833787	0.6859506008999	0.996002814480045	
KIR2DS4	ENSG00000221957.8	6.06628600544229	-0.563550162328272	3.02574183218802	0.0140778575340572	0.599036984604096	
NR4A1	ENSG00000123358.19	6.06314578951394	1.97495725742001	6.05637073391687	0.000176498307723	0.0690209239373154	Up
TRGC2	ENSG00000227191.8	6.05371155793335	0.167123980263318	2.68788048410456	0.0245290556442525	0.712680589486287	
SDC2	ENSG00000169439.11	6.03688219378453	0.312837101696227	5.75265275134145	0.0002584499814823	0.0822652301523153	
