gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
RSPO1	ENSG00000169218.13	6.61785115052072	-1.24753466025348	3.55982581683469	0.0090318826251155	0.935259123523625	
EGFL6	ENSG00000198759.11	5.31098044457356	0.224764802140626	2.77728730776464	0.0270620200220884	0.935259123523625	
ENSG00000265179	ENSG00000265179.6	5.08875938107282	-2.05164430761957	3.07763710889743	0.0175976190942295	0.935259123523625	
AADAC	ENSG00000114771.13	4.92885956354629	-0.0660434163409118	2.68736236933412	0.0308407708485887	0.935259123523625	Up
RSPO4	ENSG00000101282.8	4.83029759821703	-0.217074008946868	4.97377613404094	0.0015542147902892	0.935259123523625	
CADPS	ENSG00000163618.17	4.53669825350162	-0.77442703199005	3.17993540309615	0.0152356675610047	0.935259123523625	
GREM2	ENSG00000180875.4	4.47106642872467	0.870034381743756	3.97752446657936	0.0052065643325586	0.935259123523625	
WIF1	ENSG00000156076.9	4.39188711915024	0.162909629266055	2.76692413804273	0.0274716552844329	0.935259123523625	
SFRP4	ENSG00000106483.11	4.35468845436072	5.22760495997669	3.29659913361507	0.0129480423435557	0.935259123523625	
ABCB5	ENSG00000004846.16	4.21563064364656	-0.407695614854121	2.46524980492658	0.0427161671709573	0.935259123523625	Up
GREM1	ENSG00000166923.10	4.13169735400337	1.61331314714331	3.85328603302394	0.0061168333269716	0.935259123523625	
ADCYAP1	ENSG00000141433.12	4.05749005867644	0.550211459597109	3.39359121586209	0.011325888432717	0.935259123523625	
PI16	ENSG00000164530.13	3.94447735694569	3.601286529242	3.28878950388609	0.0130890829235123	0.935259123523625	Up
TBC1D3L	ENSG00000274512.5	3.91748722200825	-1.48561512977042	2.36564455208385	0.0494862836652672	0.935259123523625	Up
FOSB	ENSG00000125740.13	3.89206068074884	3.22799725020623	3.39631280151712	0.0112836418899631	0.935259123523625	Up
DIRAS3	ENSG00000162595.5	3.88346523853899	0.222765246219359	5.59405998053084	0.0007860827840188	0.935259123523625	
NDP	ENSG00000124479.8	3.87170505489839	-0.659698757288474	2.70809357972123	0.0299233046760331	0.935259123523625	
LYPD6	ENSG00000187123.14	3.86468647231271	-0.841331444661697	2.43390628594288	0.0447376869864727	0.935259123523625	
HOXD10	ENSG00000128710.5	3.82612000439855	-0.0444283799066348	2.66084409949453	0.0320572547673393	0.935259123523625	
LINC01028	ENSG00000267603.1	3.73545262067826	0.366245379211981	3.41039649557738	0.0110677124441192	0.935259123523625	
ALDH3A1	ENSG00000108602.17	3.72553933589984	0.392577797705738	4.87729756069103	0.0017362482004292	0.935259123523625	
ADAMTSL1	ENSG00000178031.16	3.72306911736465	3.79576287127497	6.20109032108466	0.0004231035535122	0.935259123523625	
TMEM200C	ENSG00000206432.4	3.70121031692883	-0.43799400563619	2.64492623930203	0.0328113468716496	0.935259123523625	
PRKG2	ENSG00000138669.9	3.69258839959514	-0.661510031024556	2.71493109939374	0.0296269882985667	0.935259123523625	
ASTN1	ENSG00000152092.15	3.61653407156005	-0.0819822735140617	3.60077121232401	0.0085473716229966	0.935259123523625	
TENM2	ENSG00000145934.16	3.61057703326844	-1.63559014322657	2.54146805620713	0.038182999555425	0.935259123523625	
KCNK2	ENSG00000082482.13	3.56736919247847	2.42866242063025	4.35883903472318	0.0032215859789537	0.935259123523625	
ENSG00000275464	ENSG00000275464.4	3.52237743627455	0.346501494736366	1.92257352126411	0.0954465166293195	0.935259123523625	
SFRP2	ENSG00000145423.4	3.50086253245564	5.41219860564846	3.07318082893103	0.0177089819936364	0.935259123523625	
NLGN4Y	ENSG00000165246.13	3.48401590825386	0.363234250085421	1.74016895585077	0.124844644380591	0.935259123523625	
LSAMP	ENSG00000185565.11	3.41086336645758	1.50812780033457	4.32547751199582	0.0033568525187556	0.935259123523625	
PI15	ENSG00000137558.7	3.40142815644023	2.81973935820689	1.76696728809033	0.120037120850264	0.935259123523625	Down
WNT9A	ENSG00000143816.7	3.3806989642418	2.40699787334018	6.36939280971207	0.0003590964771315	0.935259123523625	
FOLH1	ENSG00000086205.16	3.36136476883262	-0.381714895641145	3.28925502521837	0.0130806297511565	0.935259123523625	
STC1	ENSG00000159167.11	3.2829970784239	5.42834027386119	2.7145240249752	0.0296445435982307	0.935259123523625	Up
TCEAL2	ENSG00000184905.8	3.25847807401678	0.475724121923527	3.58620654396817	0.0087164200497643	0.935259123523625	
JUN	ENSG00000177606.6	3.25754933635448	8.41366295631921	3.69474359094191	0.0075383902427396	0.935259123523625	Up
VIPR2	ENSG00000106018.13	3.21041942705955	0.194746067264124	3.1499381718495	0.0158911524712862	0.935259123523625	
CXCL8	ENSG00000169429.10	3.14404785842112	0.603813581824623	1.87890432240441	0.101806643335833	0.935259123523625	Up
SLC16A9	ENSG00000165449.11	3.13641151751	0.71717869463822	3.1183862660305	0.0166131398245682	0.935259123523625	
DCT	ENSG00000080166.15	3.13105011846127	0.186422367087061	2.11354876208679	0.0719176346286272	0.935259123523625	
FAM180B	ENSG00000196666.4	3.12085033770839	-0.33291629011146	2.00231049578634	0.0848195173942555	0.935259123523625	Up
H2BC8	ENSG00000273802.2	3.12067276753756	-1.28633246724471	2.27089224652656	0.0569425168657154	0.935259123523625	
PRKY	ENSG00000099725.14	3.07238240059712	3.11885634460419	1.66162727064643	0.140007963989916	0.935259123523625	
ACTA2-AS1	ENSG00000180139.11	3.07050238618938	2.99141400106068	5.39902481998962	0.0009686120281135	0.935259123523625	
ENSG00000261997	ENSG00000261997.1	3.06864939880383	-0.892590056371447	1.92545225130464	0.095041120846492	0.935259123523625	
OGN	ENSG00000106809.10	3.06834555037671	4.84127796062278	2.65990316867768	0.0321013251480865	0.935259123523625	
MASP1	ENSG00000127241.16	3.0568294091457	1.1953534404955	2.11037622415517	0.0722570708552944	0.935259123523625	
COL11A1	ENSG00000060718.20	3.05305890350726	-1.96938527555579	2.75628459155323	0.0278989727157973	0.935259123523625	
TPSD1	ENSG00000095917.13	3.04761574102485	-0.748960871084594	2.69027504742681	0.0307101184995967	0.935259123523625	
UTY	ENSG00000183878.15	3.03128456090239	2.86609350996306	1.74225392729658	0.124464129793228	0.935259123523625	
CACNA2D3	ENSG00000157445.14	3.0176550536252	0.0139586082626779	4.70742375982368	0.0021169109655001	0.935259123523625	
PLCH2	ENSG00000149527.17	3.00065233593411	1.43500162448375	1.77078754892856	0.119366323463914	0.935259123523625	
CNTN1	ENSG00000018236.14	2.98182870863596	0.581362001006916	2.84963886609509	0.0243747143663814	0.935259123523625	
SCGB2A2	ENSG00000110484.6	2.97568602746547	1.19271731015004	0.61377840106431	0.558537018584429	0.979383930211859	
TAT	ENSG00000198650.10	2.9723416170533	1.02223225542678	0.834094980362246	0.431435289488022	0.958718582057231	
ANKS1B	ENSG00000185046.18	2.96390067254318	0.411554710065919	3.26608248781923	0.0135085908479305	0.935259123523625	
COMP	ENSG00000105664.10	2.93309047464971	2.54262159852241	3.74252484698281	0.0070754981054319	0.935259123523625	
MMP23B	ENSG00000189409.13	2.91942043308749	-1.20352244980813	2.63481965495129	0.0332996861854244	0.935259123523625	
B4GALNT3	ENSG00000139044.10	2.87047083264296	-0.0397984016831729	3.47281688739565	0.01016278344688	0.935259123523625	
ADAMTS3	ENSG00000156140.9	2.86953270882247	3.02061077565932	3.62335078902729	0.0082922623119874	0.935259123523625	
LRRC2	ENSG00000163827.12	2.83647154000137	0.822004803736007	3.19125571263061	0.0149958462383995	0.935259123523625	
TAC1	ENSG00000006128.11	2.83110382859371	-0.475486187318618	2.66013649712341	0.0320903908687862	0.935259123523625	
ATF3	ENSG00000162772.16	2.79997205242867	5.59756300850308	4.93902252192598	0.001617231884673	0.935259123523625	Up
HDC	ENSG00000140287.10	2.7948186876286	1.20131892496874	2.41924788615809	0.0457165018611539	0.935259123523625	
PDZRN4	ENSG00000165966.14	2.78790318188255	2.20147979721797	2.06220220609122	0.0776115469637447	0.935259123523625	
SORCS1	ENSG00000108018.15	2.77710698298446	1.60349279874789	2.49788863428484	0.0407106500920146	0.935259123523625	
KCNJ16	ENSG00000153822.13	2.77508876673801	0.520796645380069	2.80848742846589	0.0258669279304566	0.935259123523625	
LINC01315	ENSG00000229891.1	2.77001177075366	0.377092379168849	2.52922355109195	0.0388763987487586	0.935259123523625	
SP5	ENSG00000204335.3	2.76942666569839	-0.447490656051309	1.83074254761085	0.10929759229466	0.935259123523625	
TACSTD2	ENSG00000184292.6	2.76900295575149	3.47086324563477	1.44546814219373	0.191045695584369	0.935259123523625	
USP9Y	ENSG00000114374.12	2.76248691774579	3.50129041173203	1.39367794309835	0.205550529997537	0.935259123523625	
SPDEF	ENSG00000124664.10	2.74977535037871	1.69283280172119	0.925636240828362	0.385065554105853	0.951625051040834	Down
PAPPA2	ENSG00000116183.10	2.74639532761419	3.13876047084697	4.18755426343392	0.0039860833880519	0.935259123523625	
CRISPLD1	ENSG00000121005.8	2.74324623499426	0.624245694359097	2.8697116077193	0.0236799335038032	0.935259123523625	
ACKR4	ENSG00000129048.6	2.74316020197933	0.76623264885845	3.13664086923399	0.0161912708235524	0.935259123523625	
BEX5	ENSG00000184515.10	2.7424973495469	0.812306708848289	3.89319142546622	0.0058068540581078	0.935259123523625	
RGS1	ENSG00000090104.11	2.72893615191091	2.32802282520904	2.25309359941954	0.0584654544503738	0.935259123523625	
DDX3Y	ENSG00000067048.16	2.72287746475638	5.21308092192686	1.13700339572775	0.292508490309174	0.9381048719952	
CDH3	ENSG00000062038.13	2.71889535827767	0.178745433142691	1.53630158889129	0.16781581400122	0.935259123523625	
PTGFR	ENSG00000122420.9	2.71837717628782	3.56146500197855	4.32150384055237	0.0033733753102433	0.935259123523625	
ARHGAP8	ENSG00000241484.9	2.71542412517028	1.93408701745342	2.25767232369309	0.0580697869470769	0.935259123523625	
IGSF21	ENSG00000117154.11	2.70828329102849	0.919380577808828	2.2622688898786	0.0576752990660855	0.935259123523625	
KDNBY	ENSG00000260197.1	2.70444204032107	0.324695787926359	1.74676760373305	0.123644142161047	0.935259123523625	
SCRG1	ENSG00000164106.7	2.70278653068951	-0.670229646497681	2.09294228134824	0.0741510389983222	0.935259123523625	
OMD	ENSG00000127083.7	2.70077301599398	2.70207096547271	2.86588073073132	0.0238109059267566	0.935259123523625	
CRABP2	ENSG00000143320.8	2.68875230924912	3.13650901021052	2.92138460199963	0.0219855683603383	0.935259123523625	
GRIA3	ENSG00000125675.17	2.68537703599834	0.456920235282803	2.70532174269796	0.0300443065918726	0.935259123523625	
AFF3	ENSG00000144218.18	2.68128323202566	2.83125361226566	3.07234772623077	0.0177298842223949	0.935259123523625	
NPY2R-AS1	ENSG00000250538.5	2.6794714521541	-1.43884367143457	2.42375704609569	0.0454130884302663	0.935259123523625	
BCHE	ENSG00000114200.9	2.67412714729952	1.48904189155314	4.39554059939441	0.0030796546203971	0.935259123523625	
FOS	ENSG00000170345.9	2.67174528226852	7.51494696111692	4.46194982350347	0.0028399862567583	0.935259123523625	Up
CAPN8	ENSG00000203697.11	2.66522321083433	0.584704030368395	1.4579155553644	0.187699191172992	0.935259123523625	
DIO2	ENSG00000211448.11	2.63621093320496	1.10624018421408	3.60487905979004	0.0085003359780815	0.935259123523625	
HYDIN2	ENSG00000276975.2	2.63331894672743	-1.26539717671383	2.39826337208613	0.0471560432187588	0.935259123523625	
MYBPC1	ENSG00000196091.13	2.63238805609942	2.31123319861755	0.846281791021798	0.425040584606199	0.957952139589815	Down
GOLGA6L4	ENSG00000184206.11	2.61561883393004	-0.366548796450607	2.81262604394117	0.0257126091718012	0.935259123523625	
DKK2	ENSG00000155011.8	2.61498851145032	1.57982360618311	3.97374735537062	0.0052319526432409	0.935259123523625	
LEPR	ENSG00000116678.19	2.61141345939315	5.47411022179106	3.26200695642712	0.0135853966157288	0.935259123523625	
CAPN6	ENSG00000077274.8	2.59914076678138	2.07861142006124	2.83896090201987	0.0247530144497029	0.935259123523625	
MS4A14	ENSG00000166928.10	2.58534370546425	0.782732382840979	1.92674122268231	0.0948601469741819	0.935259123523625	
HBD	ENSG00000223609.7	2.58050689707463	-0.271155470769479	0.820186022521906	0.438816609369286	0.958875510945083	Up
TREM2	ENSG00000095970.16	2.57989494518286	-1.13104483846643	1.79062590069088	0.115940127483786	0.935259123523625	
GDF10	ENSG00000266524.2	2.57606091987075	3.04000615168764	2.27969802874616	0.0562039502901671	0.935259123523625	
ENSG00000283674	ENSG00000283674.1	2.57353805841757	-0.10647143123054	3.11381918829152	0.0167205050724699	0.935259123523625	
RFX8	ENSG00000196460.12	2.56660879365261	0.841087176220162	4.41491613058473	0.0030075085923562	0.935259123523625	
RYR3	ENSG00000198838.13	2.5643370222842	2.59339093425595	3.03029025282433	0.018819872558425	0.935259123523625	
BMP7	ENSG00000101144.12	2.56360433868636	-0.0361142369974005	3.08753084497867	0.0173530238760538	0.935259123523625	
TMEM255A	ENSG00000125355.15	2.5547758011822	0.953451361148659	2.24295067817767	0.0593516725406763	0.935259123523625	
ZMYND15	ENSG00000141497.13	2.54735004804759	0.387253483969215	3.18009577202375	0.0152322417176369	0.935259123523625	
ADAM22	ENSG00000008277.14	2.53703633086421	2.16941843099748	5.98004360890188	0.00052743374928	0.935259123523625	
PDGFRL	ENSG00000104213.12	2.52145022900938	4.79085929770672	2.40330188463862	0.0468062241425257	0.935259123523625	
LINC00968	ENSG00000246430.6	2.51432866144409	0.28652576217057	1.22370743295106	0.260176978359316	0.9381048719952	
NRXN3	ENSG00000021645.18	2.51072707667857	1.04433514067578	3.60982595367494	0.0084440641306211	0.935259123523625	
THBS1-IT1	ENSG00000276107.1	2.5060966086349	0.758767098239264	1.99567402026629	0.0856577777257393	0.935259123523625	
MFAP4	ENSG00000166482.11	2.50453748594554	7.4063379100182	3.32102162738687	0.0125173816857319	0.935259123523625	
SCARA5	ENSG00000168079.16	2.5041066679754	5.61565409555517	1.98892006072032	0.0865192461127587	0.935259123523625	
TFCP2L1	ENSG00000115112.7	2.50144346537692	2.80023679488253	2.14778942066429	0.0683538808197856	0.935259123523625	Down
ARHGAP40	ENSG00000124143.10	2.49975380932671	-0.98685111829551	0.508756310554186	0.626372509434101	0.982068413669004	
SLC4A8	ENSG00000050438.16	2.49481209874824	0.411769181008411	2.69969033439447	0.0302917147471783	0.935259123523625	
ABCB1	ENSG00000085563.14	2.49297581767433	3.35630822902142	3.3286964010249	0.0123852363207162	0.935259123523625	
ZNF713	ENSG00000178665.14	2.48517781420651	1.18647944517718	1.65527578808725	0.141307141146846	0.935259123523625	
MEG9	ENSG00000223403.3	2.48362194561611	0.621010446384924	1.91468038733967	0.0965667321741712	0.935259123523625	
GDF15	ENSG00000130513.6	2.48238673973957	2.14514584056452	3.261605891323	0.0135929801271079	0.935259123523625	Up
PRRT2	ENSG00000167371.17	2.47468604034858	2.8043012702019	6.54211863171816	0.0003044626525084	0.935259123523625	
COL23A1	ENSG00000050767.15	2.46459404148878	1.15472905071114	1.8660362372762	0.10375802125639	0.935259123523625	
CPVL	ENSG00000106066.14	2.45364578468916	3.25610895847414	4.83113632008663	0.0018315912852556	0.935259123523625	
FBLN1	ENSG00000077942.18	2.45239136608954	8.60019422687036	2.07245888519871	0.0764394565905708	0.935259123523625	
KDM5D	ENSG00000012817.15	2.45197153061165	4.69371770108212	1.33444741293928	0.223328757644254	0.936680691604373	
ENSG00000277954	ENSG00000277954.1	2.44806908709604	-0.170463296642766	3.15380203105938	0.0158050607568534	0.935259123523625	
NTRK1	ENSG00000198400.11	2.44553618984505	-0.390928001940904	2.5713822613222	0.0365421892240603	0.935259123523625	
FMNL1-DT	ENSG00000267121.5	2.43885172917388	1.02186301576839	4.18164547619747	0.0040157862621873	0.935259123523625	
RGS2	ENSG00000116741.7	2.43392917015328	4.73320944172652	3.24653334188022	0.0138812858812376	0.935259123523625	
CYP2S1	ENSG00000167600.13	2.42176994464424	-0.495013424976714	3.23477538871865	0.0141107278172614	0.935259123523625	
ELF3	ENSG00000163435.15	2.41707302717078	2.64944325749224	0.887224746666953	0.404055030263249	0.955071677126882	
ENSG00000233864	ENSG00000233864.7	2.41237665741116	0.889153936125544	1.28040577044943	0.240706930177456	0.9381048719952	
CACNB2	ENSG00000165995.18	2.40135587712383	2.29513538603727	4.77878148803905	0.0019467948619453	0.935259123523625	
AREG	ENSG00000109321.10	2.39433923421011	4.22429479699756	1.41707000140492	0.198881741237974	0.935259123523625	
IGLC2	ENSG00000211677.2	2.39362666019871	0.783004183492274	1.61899543593446	0.148946973379108	0.935259123523625	
FGFR4	ENSG00000160867.14	2.38764398270831	1.05175720890842	1.32270449730185	0.22700930565896	0.9381048719952	
LINC01133	ENSG00000224259.6	2.3852029156964	-0.870715681769779	2.35903380300162	0.0499726867502526	0.935259123523625	Up
IGHV3-7	ENSG00000211938.2	2.37750865620441	-1.09725570286435	1.36488533022303	0.21403063399323	0.935259123523625	
RIMS4	ENSG00000101098.12	2.377313902132	1.32018441901187	3.05308902308565	0.018220450745394	0.935259123523625	
HBA2	ENSG00000188536.12	2.36430514637738	4.98057495073998	2.17595574552713	0.0655551154639692	0.935259123523625	Up
PLAT	ENSG00000104368.17	2.35420353186838	4.96485900665447	3.24092689720284	0.0139901873796247	0.935259123523625	
ALKAL2	ENSG00000189292.15	2.35133425640953	3.93855661420074	1.72165659936497	0.128272003137162	0.935259123523625	
LRP4	ENSG00000134569.9	2.35128812365556	1.68013615871854	3.68110694154579	0.0076764445814305	0.935259123523625	
RSPO3	ENSG00000146374.13	2.34798551154894	3.87251430540911	4.193672298062	0.003955581978278	0.935259123523625	
PEBP4	ENSG00000134020.7	2.34320233385229	-0.0005257968704603	2.4583404261301	0.0431535866595596	0.935259123523625	
OLFML1	ENSG00000183801.7	2.33638496992782	3.31582273662921	4.28616891505243	0.003524289450035	0.935259123523625	
C2CD4B	ENSG00000205502.3	2.33601957071968	2.71785055142361	2.39209268911718	0.0475881111739786	0.935259123523625	Up
SLC2A3	ENSG00000059804.15	2.33086682977555	6.95803348152688	1.99714341558631	0.08547147681147	0.935259123523625	Up
ENSG00000255026	ENSG00000255026.1	2.3254553062634	0.710390594864446	1.42530039893478	0.196581619474909	0.935259123523625	
MIR100HG	ENSG00000255248.7	2.32370248010776	4.48135005807828	4.146766313669	0.0041961332222686	0.935259123523625	
VEGFD	ENSG00000165197.4	2.32138437377258	3.41826758655195	3.83034990585761	0.0063031107515126	0.935259123523625	
INSRR	ENSG00000027644.4	2.32122563470202	-1.16823942560757	2.49211352390347	0.0410583218090873	0.935259123523625	
HBB	ENSG00000244734.3	2.31600738658056	7.32330816878236	1.52946882734832	0.169469381289299	0.935259123523625	Up
ISM1	ENSG00000101230.5	2.30713050734048	3.82505364341618	2.33268705985336	0.0519600965017584	0.935259123523625	
PAK3	ENSG00000077264.14	2.30429880298539	1.13450076042827	2.55135475152206	0.0376324464898574	0.935259123523625	
VMO1	ENSG00000182853.11	2.29687684492335	-0.303817581515607	2.35200460593081	0.0504952248046861	0.935259123523625	
LRFN5	ENSG00000165379.13	2.29307104203957	0.450621877344289	2.64577951575941	0.0327704596257397	0.935259123523625	
GLT8D2	ENSG00000120820.12	2.28931337473333	3.04189812997831	4.01866028497233	0.0049386016616251	0.935259123523625	
PHEX	ENSG00000102174.8	2.28755520954067	-0.579013284751935	1.89813008211321	0.0989573258352146	0.935259123523625	
PMEL	ENSG00000185664.14	2.28571308655145	0.789636991854172	1.36386597731694	0.214336433570676	0.935259123523625	
PTPRH	ENSG00000080031.9	2.28522529857721	-0.0913153601904104	2.10141342771862	0.0732246666494948	0.935259123523625	
GEM	ENSG00000164949.7	2.28377276804537	4.56819525047483	3.58887453353803	0.0086851850663687	0.935259123523625	Up
TXLNGY	ENSG00000131002.11	2.28204115127911	3.67309497965998	1.38168701486228	0.20904535336215	0.935259123523625	
FGF18	ENSG00000156427.7	2.27895098302112	1.85194526266166	3.09567478555233	0.0171543979977385	0.935259123523625	
MRC2	ENSG00000011028.13	2.27749076473031	5.78237970796366	2.895479986945	0.0228184205718563	0.935259123523625	
DCN	ENSG00000011465.16	2.27660434312849	10.5418440863942	1.87809563171756	0.101928222478394	0.935259123523625	
CTSK	ENSG00000143387.12	2.27282579181415	6.60271915340873	1.86520223882678	0.103885735144112	0.935259123523625	
KCNK5	ENSG00000164626.8	2.2677869160064	3.52885887979181	2.69631292529654	0.0304411148983016	0.935259123523625	
VWA7	ENSG00000204396.10	2.26732182060286	-0.459397527803932	2.42788406938415	0.0451371959495357	0.935259123523625	
MGP	ENSG00000111341.9	2.25222686887587	8.70071221901345	1.40768947905695	0.2015325317523	0.935259123523625	
TOX	ENSG00000198846.5	2.25019019459869	0.642324030651893	2.33924383112133	0.0514581023433209	0.935259123523625	
YPEL4	ENSG00000166793.10	2.23117455262626	1.09988493108012	2.53663396864313	0.0384552132318132	0.935259123523625	
COL8A2	ENSG00000171812.12	2.22425646332212	2.51031066125076	2.46885329282587	0.0424898468852334	0.935259123523625	
PRLR	ENSG00000113494.16	2.21658175177602	2.34141602576446	1.72682580135173	0.127306104498083	0.935259123523625	
CH25H	ENSG00000138135.6	2.21336561342202	2.25079410639506	1.85590011417492	0.105320559889013	0.935259123523625	Up
CYS1	ENSG00000205795.4	2.21321461783401	0.430711336386403	2.68399123618675	0.0309927112812475	0.935259123523625	
C12orf75	ENSG00000235162.8	2.20412593584377	2.77153720154295	2.18779228548434	0.0644135236282688	0.935259123523625	
KIAA1755	ENSG00000149633.11	2.20392805058849	1.86614637684246	2.07539676957438	0.0761069751885958	0.935259123523625	
TFAP2C	ENSG00000087510.6	2.20373921488688	0.990853047326622	1.1324567946197	0.294291685907636	0.9381048719952	
ITM2A	ENSG00000078596.10	2.20371921503009	6.26063430809096	3.69547316928385	0.0075310803575355	0.935259123523625	
SLC16A6	ENSG00000108932.11	2.20151631781574	1.00252325062016	2.27888914226831	0.0562713876286089	0.935259123523625	
ALDH1A3-AS1	ENSG00000259583.2	2.20132707829029	1.10658045331237	2.75938351113654	0.0277737972881982	0.935259123523625	
KCNMA1	ENSG00000156113.22	2.19371745968436	3.6583417163243	2.97356815678074	0.0204037002031001	0.935259123523625	
TINCR	ENSG00000223573.6	2.19271864574119	0.340595867380826	2.07975011422371	0.0756169439999976	0.935259123523625	
PDK4	ENSG00000004799.7	2.19038353365817	8.97585336821915	1.72092760772775	0.128408777447004	0.935259123523625	
MMP3	ENSG00000149968.11	2.19007041110444	3.18805372660738	1.79346674074872	0.115457269313649	0.935259123523625	Down
GALNT6	ENSG00000139629.15	2.17905772795506	2.0118631085361	1.07104748737877	0.319255552527533	0.938864033920126	
HPSE2	ENSG00000172987.12	2.17611514470425	2.0008209260099	4.06990766136322	0.0046256283251513	0.935259123523625	
SLCO1C1	ENSG00000139155.8	2.17391771707545	-0.310934999626273	2.8762212668147	0.0234591127363494	0.935259123523625	
TNFSF14	ENSG00000125735.10	2.17324022806626	2.03055939729146	3.00098640320585	0.0196211891368244	0.935259123523625	
COL4A3	ENSG00000169031.18	2.17066589910628	0.885856992083975	2.45755549411929	0.0432035693081709	0.935259123523625	
MEG3	ENSG00000214548.14	2.16806030292279	6.98588261063741	3.75428264121651	0.0069663802447004	0.935259123523625	
CACNB4	ENSG00000182389.19	2.16581642205442	0.592806750951265	2.63728107310657	0.0331800616403828	0.935259123523625	
CASP12	ENSG00000204403.9	2.16519241785181	-0.238263626123409	1.44676318575838	0.190695038632502	0.935259123523625	
IL20RA	ENSG00000016402.13	2.1563588910254	2.0265644772661	1.5116089141987	0.173862173971416	0.935259123523625	
TTTY14	ENSG00000176728.7	2.15570607427968	0.752322065176718	1.2876116378982	0.238324209083865	0.9381048719952	
COL14A1	ENSG00000187955.11	2.15426424791783	6.49717160591461	1.91566933544351	0.0964256788553571	0.935259123523625	
DPEP1	ENSG00000015413.9	2.15045057769721	-0.127230275984772	1.42406337631028	0.196925801724621	0.935259123523625	
IGHM	ENSG00000211899.9	2.14900955126394	2.91430278484363	1.94111847825209	0.0928642212713643	0.935259123523625	
