gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
REN	ENSG00000143839.14	4.31985734982482	2.82501008985098	4.01319618597161	0.00673181542234615	0.999935971977903
SPOCK3	ENSG00000196104.10	3.51209737423581	0.674505203741274	1.19059187844331	0.277934734283967	0.999935971977903
PHC1P1	ENSG00000179899.8	2.88638100942002	1.07416737613228	2.59783560039799	0.0400490318778886	0.999935971977903
RASGRF1	ENSG00000058335.15	2.86348007638338	0.0953458517882121	3.93997700314643	0.00732823833140672	0.999935971977903
CALB2	ENSG00000172137.18	2.86281272332808	1.54195434860804	1.9995449045204	0.0915478746270402	0.999935971977903
LRRC3B	ENSG00000179796.11	2.83805508706163	-1.16802814999641	1.28689269111746	0.244658715875216	0.999935971977903
H2BC8	ENSG00000273802.2	2.68373816429725	1.951859631673	2.16797050879427	0.072376519398057	0.999935971977903
LINC01139	ENSG00000215808.2	2.67379731925768	0.569504060222037	1.12649817910892	0.302176364379777	0.999935971977903
ACE2	ENSG00000130234.10	2.6692796270864	0.827211907763823	2.08600267023315	0.0811360565077155	0.999935971977903
ENSG00000275464	ENSG00000275464.4	2.63373695206355	0.532784714439901	2.02443682872454	0.0884188214732396	0.999935971977903
SFRP2	ENSG00000145423.4	2.57528107893949	0.652176916039087	4.02200116484261	0.00666380991947657	0.999935971977903
RSPO1	ENSG00000169218.13	2.56362684699134	0.887307126624806	4.48878530720807	0.00395533273320039	0.999935971977903
LINC01504	ENSG00000225434.2	2.55602566826742	-0.411604640152747	1.93509831795644	0.10017640093616	0.999935971977903
CLEC4M	ENSG00000104938.16	2.44261435446823	1.38331152862002	4.01235435968925	0.00673835768997372	0.999935971977903
SLC27A6	ENSG00000113396.12	2.36593905758351	2.29531588797877	1.20546409376319	0.272553016728802	0.999935971977903
PDE10A	ENSG00000112541.13	2.3448137416543	4.07942808166668	3.77067510785614	0.00894563399082916	0.999935971977903
SNORD3A	ENSG00000263934.4	2.3381459847765	-0.301287034850648	1.64166279818202	0.150794865306482	0.999935971977903
H2BC18	ENSG00000203814.6	2.32575871843332	4.07911873801131	1.66700963326536	0.14558602071607	0.999935971977903
HLA-DOB	ENSG00000241106.6	2.28994331648463	0.194081455110844	1.53302556343922	0.175198456758883	0.999935971977903
EEF1A1P11	ENSG00000228502.1	2.27475850257024	1.42573481262127	1.44757843342455	0.196947185948901	0.999935971977903
DAB1	ENSG00000173406.15	2.26033596063779	1.16660024759016	2.09845332622729	0.079738878271215	0.999935971977903
RASSF6	ENSG00000169435.13	2.25270400659636	1.18345839308313	2.42816857513111	0.0504919467558212	0.999935971977903
LPAR3	ENSG00000171517.5	2.2454326003566	0.964522215545598	1.62459375099737	0.154402615614016	0.999935971977903
UPK3B	ENSG00000243566.6	2.22641552212367	1.92513865787284	1.72143073891895	0.134981056202627	0.999935971977903
CRYGD	ENSG00000118231.4	2.20889568006859	0.634647397014003	3.54848027008583	0.0116999798973542	0.999935971977903
ITLN1	ENSG00000179914.4	2.20798057535635	1.43440923093213	1.35725770389413	0.22261431575327	0.999935971977903
CATSPER2	ENSG00000166762.16	2.19843713437917	1.77837230388219	2.05754901055238	0.0844231676457699	0.999935971977903
ECEL1	ENSG00000171551.11	2.17184941179841	6.81419435602879	2.4297330349493	0.0503835454899958	0.999935971977903
CXCL14	ENSG00000145824.12	2.12613266535813	1.49100440268489	2.36792250653925	0.0548575311227739	0.999935971977903
SPRR2F	ENSG00000244094.1	2.05779843587456	4.73486274220881	1.41824168945675	0.204971716920444	0.999935971977903
EEF1A1P5	ENSG00000196205.8	2.0124403973164	5.07128262947874	2.30334910019797	0.0599761333614183	0.999935971977903
ENSG00000268416	ENSG00000268416.1	1.9965676055934	2.37032710572809	1.04783211228659	0.334321441114409	0.999935971977903
ESPNL	ENSG00000144488.14	1.95687760347764	2.75395301239671	3.242755820252	0.0171370893132348	0.999935971977903
ROCK1P1	ENSG00000263006.6	1.9395995043205	0.104078402473957	1.95131126262001	0.0979318156695833	0.999935971977903
RHOD	ENSG00000173156.6	1.93002364827726	2.51261284365315	2.38014704666001	0.05394086012983	0.999935971977903
SERPIND1	ENSG00000099937.10	1.92726875507073	-0.164761607188424	1.25259816888309	0.256087112641177	0.999935971977903
FGF9	ENSG00000102678.6	1.91950249852974	1.36215999650419	1.03761577014379	0.338694085840555	0.999935971977903
PRSS16	ENSG00000112812.15	1.88692076598968	2.39375169853858	4.26233875189635	0.00507369264438768	0.999935971977903
PTGER3	ENSG00000050628.20	1.88474471992747	1.0505069896334	2.92510881936008	0.0258519408306532	0.999935971977903
LEFTY2	ENSG00000143768.12	1.87959273391887	5.44270894144526	1.26594359951317	0.251585335202766	0.999935971977903
EIF4BP3	ENSG00000224546.2	1.87692706754453	0.80809579742644	2.40914240002858	0.0518299828835694	0.999935971977903
HLA-DRB5	ENSG00000198502.5	1.87345098178399	3.70799470655338	3.32697127053992	0.0154051895825125	0.999935971977903
FRMPD3	ENSG00000147234.10	1.86542052366765	3.66485190829819	3.23244837034257	0.0173632777733645	0.999935971977903
WASIR2	ENSG00000231439.4	1.86191526159645	1.02915408972306	3.16681553136857	0.0188821743993689	0.999935971977903
RPL29P4	ENSG00000230202.1	1.85958769056487	2.12793139133073	1.36983436442162	0.21886722643116	0.999935971977903
