gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
SNORD3C	ENSG00000264940.4	2.89887957107379	-3.91697468024105	2.48305752323	0.0155272334387635	0.515634612724222	
COL6A5	ENSG00000172752.14	2.32297979584039	-0.384069045728277	1.64062613696766	0.105545999953923	0.738527508438919	Up
LINC03050	ENSG00000235725.1	2.28417536694836	-2.93609295396078	2.62384370671851	0.0107496979272496	0.474493615491454	
TBC1D3L	ENSG00000274512.5	2.26556920783127	1.67709867819094	2.50399830583583	0.0147128506035864	0.51350069457664	
DRGX	ENSG00000165606.8	2.11593114833675	-2.38153997482312	2.36471214808713	0.0209384062197368	0.550341118110479	
TSPEAR	ENSG00000175894.14	2.07326724122632	-1.18671404454064	2.06118539356904	0.0431561399395967	0.648746612359299	Up
CXCL10	ENSG00000169245.5	2.02991594637012	-2.89865677886247	2.23414957042062	0.0288029141130203	0.594233321648782	Up
GRIK4	ENSG00000149403.12	2.02974758790277	-2.01330751714414	2.44086132640841	0.0172924868266379	0.529682899943813	Up
CCL19	ENSG00000172724.11	1.98183949439091	0.783594591804107	1.7241071293726	0.0892843467386499	0.716854530932633	Up
L1TD1	ENSG00000240563.1	1.89584557444036	-2.19445668727765	3.10725600924408	0.0027662090676171	0.319952559778228	
INA	ENSG00000148798.10	1.89144437558269	0.0186301601211934	4.17320586181452	8.81881299815447e-05	0.129184599538533	
SLC52A1	ENSG00000132517.14	1.88133787713746	1.98393029147009	2.44621186058651	0.0170591037832287	0.529562495308739	Up
LINC02345	ENSG00000259225.6	1.87185593519191	-2.54428072129243	2.32841609472318	0.02290603066473	0.565934244640144	
MXRA5Y	ENSG00000235649.2	1.82076052623332	-0.827504664525522	2.57984731275468	0.0120754865425176	0.493444270532727	
FABP7	ENSG00000164434.11	1.80377392985707	1.87778139867223	1.59395920840209	0.115636236846594	0.751571520965972	
ENSG00000243491	ENSG00000243491.1	1.77275214423855	0.845482283182219	1.7548788242754	0.0838361138440405	0.708907978372666	
