gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	GMT_category
HSPA6	ENSG00000173110.7	5.05549095151968	2.09370996388401	2.701511839131	0.025914767239787	0.345397548490192	Up
ENSG00000262539	ENSG00000262539.1	4.93185255990932	-2.25042416515079	4.54577839472785	0.0016751177631415	0.223462073094969	
MT1H	ENSG00000205358.3	3.97910053657319	4.01195045220844	4.01791347049226	0.0035046756449142	0.24989759475227	Up
UTS2R	ENSG00000181408.3	3.63574536320815	0.237389888820601	3.25945373923213	0.0108375879032076	0.297401250660577	Up
GPR132	ENSG00000183484.11	3.34131053963356	1.48807817714475	6.95009352178869	9.48726232304975e-05	0.170014041789373	
EPB41L4A-AS3	ENSG00000251076.1	3.23838898231528	-0.476772024362245	3.99853581170261	0.0036037233495311	0.24989759475227	
LINC01886	ENSG00000224568.1	3.20443073854368	1.46422923434852	4.85985782448892	0.0011007729383652	0.221785633627705	
DDX3Y	ENSG00000067048.16	3.19344055672247	5.68994253517677	1.23372867451506	0.250794306784664	0.621749980653621	
MAP3K2-DT	ENSG00000236682.1	3.13572642516988	-0.0204587079764224	2.69223661175485	0.0262982371655923	0.346867337684292	
CADM2	ENSG00000175161.13	3.06971908640481	0.432425777999309	2.44773571546468	0.0387795422241734	0.37306261853398	Up
COL9A3	ENSG00000092758.15	2.93768464847334	4.30050109562256	1.75239169040973	0.116107032351526	0.492759844513965	Down
TBL1Y	ENSG00000092377.13	2.93560126443215	1.1832152498397	1.74833515933922	0.116835645340749	0.493466489994384	
ACAN	ENSG00000157766.15	2.8798243642735	0.206662773556392	3.1876691981913	0.012104398743681	0.305559103604933	
LCN8	ENSG00000204001.9	2.80768504865149	0.457058918933501	3.88319576645675	0.004258678014191	0.253627486196164	
CCNP	ENSG00000105219.8	2.78670682762963	1.02743065925431	7.24291485232587	7.02106825944973e-05	0.165366217705068	
TENM3-AS1	ENSG00000177822.7	2.7738964761106	0.947887917761465	5.01490494446672	0.0008994520364995	0.221785633627705	
LINC01504	ENSG00000225434.2	2.7352839844542	-1.00005473497813	2.08628480477426	0.0688644269594764	0.427535534219028	
CRABP1	ENSG00000166426.7	2.72142789913638	5.18226069669531	4.61132100640115	0.0015327631381024	0.223150580559435	
NKX2-8	ENSG00000136327.6	2.71252503493715	0.36025800701267	6.19934819094435	0.0002145893973385	0.17170618052993	
SLC6A3	ENSG00000142319.17	2.57598197835638	0.838580843298037	3.80358880915149	0.0047841415512515	0.268286196447228	
ARC	ENSG00000198576.3	2.53436459937025	0.441542952000973	1.78796718962781	0.109896152636142	0.48301919350865	
USP9Y	ENSG00000114374.12	2.49926620563528	4.98896368663794	1.12936043448342	0.290044512631937	0.653148985085014	
IGHG4	ENSG00000211892.3	2.47368086613667	0.466909110214858	2.66188545671177	0.0275939876427481	0.347978900368839	
DNAJB1	ENSG00000132002.7	2.43434736416462	6.5577677382258	2.11364472468006	0.0659470704262017	0.4233914914785	
ENSG00000273906	ENSG00000273906.1	2.42401018382529	2.339872899154	1.19268661838534	0.265676531389009	0.632331253384478	
HMGA2	ENSG00000149948.13	2.40791503120992	-0.534734183301668	3.39711305042994	0.0087815390558161	0.286769961447874	Up
ENSG00000233017	ENSG00000233017.2	2.40535896186712	-0.509630871453598	3.42129075046754	0.0084649562203152	0.286769961447874	
HSPA1B	ENSG00000204388.6	2.39409631298273	5.64386380175565	1.50055643499118	0.170181745736651	0.548767336450541	Up
HBA2	ENSG00000188536.12	2.38415190165817	3.8094892624626	4.77202939265867	0.0012361146625164	0.223150580559435	Up
LINC01444	ENSG00000264301.1	2.37315687375267	-0.223999568817488	4.39143411120151	0.0020699302692616	0.239540037127607	Up
MT1G	ENSG00000125144.13	2.33631056883783	7.07600879484975	2.58413576804253	0.0312177338985783	0.356055898912245	
HSPA1A	ENSG00000204389.9	2.32397124357629	5.86784335419066	1.52203379563643	0.164810576516627	0.543757222912204	Up
H2BC8	ENSG00000273802.2	2.29869893657958	0.0522533741780338	3.02928538800924	0.0154771371221891	0.314638174763911	
GPX1P1	ENSG00000197582.5	2.29693801800679	0.548777848031761	1.71338405580674	0.123291579555433	0.50165646389134	
SLC6A12-AS1	ENSG00000256577.2	2.28942078530682	0.253048924722962	3.89290639786369	0.0041989187966516	0.253627486196164	Up
TRAPPC12-AS1	ENSG00000225234.1	2.28818369797049	0.258562744137396	5.51948316343961	0.0004772764836844	0.197562708492341	
HBB	ENSG00000244734.3	2.28677407597094	5.97486563197962	3.24321731840753	0.0111114418461857	0.299827073188321	Up
LINC01018	ENSG00000250056.5	2.28607052088699	0.279952064928319	3.24979473980639	0.010999640004001	0.298626188086719	
LINC02714	ENSG00000251226.1	2.28478314382272	0.129906734721654	2.37752256865998	0.0433646828165616	0.37837043791433	
TTTY14	ENSG00000176728.7	2.28098938682552	1.65818814193807	1.17637832827852	0.271787280082114	0.638160964798866	
